
276,6,8.23,1.95,0.12
269,9.4,37,1.69,0.16
87,10.8,9.89,1.6,0.06
99,6.47,5.6,1.86,0.05
300,9.31,29.3,2.02,0.08
264,10.5,42.5,1.77,0.05
217,11.3,37,1.61,0.06
224,11.7,41.4,1.53,0.05
207,13.6,39.5,1.47,0.09
239,12.4,24.7,1.51,0.05
323,9.79,41,1.82,0.08
258,9.97,36.3,1.66,0.05
304,7.07,40,1.82,0.06
259,8.52,20.1,2.01,0.04
96,7.55,24.9,2.19,0.13
245,8.7,23.1,1.89,0.15
280,6.89,27.2,1.78,0.06
418,10.9,28.8,1.65,0.06
383,9.88,32.3,1.74,0.05
245,9.12,31.2,1.98,0.09
422,17,15,2.15,0.08
120,10.2,13.2,1.92,0.06
177,26.5,30.6,1.24,0.05
188,23.8,37.3,1.4,0.05
214,16,30.5,1.34,0.06
286,9.56,20.2,1.52,0.06
319,12.1,8.95,1.72,0.1
137,6.13,12.6,2.15,0.05
216,8.73,12.4,2.16,0.04
212,9.98,31.9,1.43,0.05
259,8.25,36.5,1.62,0.04
245,7.09,37.2,1.7,0.04
262,7.87,35.4,1.59,0.05
239,10.6,28.2,1.51,0.04
80,7.35,24.8,1.63,0.04
235,8.7,18.3,1.63,0.1
264,8.62,29.7,1.65,0.05
243,6.9,20.2,1.74,0.04
311,7.12,18,1.94,0.04
