Number	qtype	Al	Ti	Li	Ge	Sr
1767	carlin	507.0199021	0.184159811	21.77031623	2.378173177	0.389732768
1768	carlin	504.7477498	0.360827127	17.29386908	2.944939588	0.080920189
1770	carlin	688.8099489	0.511779381	24.65118181	7.835649717	0.081061556
1771	carlin	595.976775	0.400247873	20.36305311	10.55249666	0.344677273
1772	carlin	630.4832193	0.228875234	30.2389078	4.510150835	0.046671453
1773	carlin	763.7493728	0.180948435	32.82786749	3.058704089	0.007493881
1774	carlin	340.1524204	0.196599429	10.17929982	1.775150434	0.08254559
1775	carlin	637.9366432	0.164304496	22.71099291	3.005716984	0.416200312
1776	carlin	735.9034528	0.145642987	28.78125325	2.953036208	1.321219944
1777	carlin	715.814744	0.510121055	16.04913135	4.877284211	0.504416988
1779	carlin	524.0991083	0.11346215	16.81355063	4.698393395	1.100764301
1780	carlin	2098.840505	0.414530496	93.23960572	4.439166642	1.458239021
1781	carlin	1414.181274	0.299556675	70.6896656	2.904149383	0.041401095
1782	carlin	1362.308535	0.403869197	52.10568103	3.14003495	0.035765139
1783	carlin	1542.958437	0.932975955	40.6581448	4.314710637	0.162316283
1784	carlin	1626.107494	0.348466706	50.18351602	7.60521139	0.478513935
1785	carlin	1738.279828	0.963599167	48.65438585	9.319251494	0.029959966
1786	carlin	1621.849038	0.723246114	46.48206504	10.05216443	0.033472073
1787	carlin	1785.00244	0.413177989	48.36504506	11.76385048	0.1065077
1788	carlin	1890.983952	0.491566534	33.25612029	10.96158299	0.085351323
1789	carlin	2547.242077	0.842825425	79.71372041	7.658115241	0.222718654
1790	carlin	1751.183414	0.603700491	64.56410104	10.54360453	0.125885519
1791	carlin	1538.750876	0.350284183	58.06065228	9.483909333	0.31055221
1792	carlin	1672.189916	0.739543743	74.29598418	7.378898231	0.00346886
1793	carlin	1996.626309	0.881080635	98.25218615	3.820843846	0.012549293
1794	carlin	1644.631419	0.768309253	83.49289695	3.947853135	0.00127116
1795	carlin	1778.747518	0.844892892	87.89274584	3.476454747	0.455549408
1798	carlin	887.5537874	0.42019054	36.07378067	2.106950773	0.314991327
1799	carlin	1002.865835	0.553037839	39.02419339	2.838952056	0.049929563
1800	carlin	1028.298674	0.678839181	33.01528834	3.305103155	0.059065486
1801	carlin	1002.465892	1.017430344	29.86726372	4.10709803	0.043774649
1802	carlin	1081.840609	0.768353664	30.38312234	3.558399643	0.123405269
1803	carlin	1042.278399	0.63701674	29.84138355	3.376730683	0.015834711
1804	carlin	883.6446048	0.294249262	31.50898058	2.131654885	0.055409358
1805	carlin	840.6951254	0.366793392	24.64910619	2.17493935	0.009728668
1806	carlin	895.1961024	0.442239575	35.72188143	2.466732695	0.022401733
1807	carlin	920.2431317	0.53251604	28.80132902	2.868599418	0.023697541
1808	carlin	821.343704	0.35565258	31.29189906	1.789586948	0.063945297
1809	carlin	402.5291182	0.106899915	14.09634837	0.997231389	0.154480354
1810	carlin	1224.261896	1.533187086	28.25427987	3.011348138	0.043807713
1811	carlin	872.5956157	0.432931154	25.70262152	2.788672869	0.001492286
1812	carlin	929.9504612	0.88672897	22.33179366	3.332980491	0.000671697
1813	carlin	932.2083136	0.7358689	21.40395394	3.670288825	0.002424504
1814	carlin	886.7519223	0.421675927	31.70355376	2.853949795	0.008946565
1815	carlin	803.6441146	0.78811079	24.97261562	4.182935591	0.004155
1818	carlin	790.9945253	0.703944274	14.46724569	3.888068481	0.016997714
1819	carlin	723.0224687	0.792752739	11.59991811	4.038739528	0.01996666
1821	carlin	991.0141687	0.493384001	24.877609	2.750826438	0.003028029
1822	carlin	1098.639887	1.058688867	26.66437176	3.582127014	0.016677282
1825	carlin	720.8289332	0.231882057	42.14718888	2.066364949	0.001989619
1826	carlin	733.2403629	0.479921518	38.43256001	3.164980326	0.000780557
1827	carlin	730.4589233	0.681704994	36.97495468	3.57036403	0.010311514
1828	carlin	1110.121206	0.928893264	59.99459738	3.125821099	0.006419117
1829	carlin	793.8592776	0.345568559	27.59954599	2.052924766	0.012196138
1830	carlin	658.7007396	0.591492386	20.34303653	3.072299038	0.005474415
1832	carlin	2577.358912	0.136504295	51.15871157	3.638665639	0.11558831
1833	carlin	2744.73909	0.204568119	41.21436266	1.86981827	0.004211933
1834	carlin	2331.542301	0.267888161	71.24434685	8.478314474	0.005485153
1835	carlin	2449.517151	0.617472167	91.94652666	11.68519061	0.016698583
1836	carlin	2419.931753	0.506673114	96.61636885	11.99106223	0.020231773
1837	carlin	2411.591045	0.550410587	92.89874269	12.5993187	0.018945632
1838	carlin	2339.940841	0.606773828	89.61760635	12.05605611	0.011680899
1839	carlin	2495.644797	0.756406603	84.57649434	9.755143479	0.026466736
1840	carlin	2342.484083	0.864659629	75.82283418	10.36690596	0.034861701
1841	carlin	2096.337936	0.762560012	62.21146974	12.2333653	0.481963467
1842	carlin	3105.098543	0.053317374	42.31089491	0.790418499	0.002338915
1844	carlin	2699.687366	0.095903463	109.3040224	1.686615034	0.005197402
1845	carlin	2574.270718	0.071706044	124.9896058	6.278502122	0.01207749
1846	carlin	2177.32127	0.421445069	82.12378536	10.34940585	0.025311099
1847	carlin	2375.898105	0.683063708	103.1100941	10.07513678	0.031632618
1848	carlin	2417.980211	0.667001091	96.92417403	9.633037137	0.028591518
1849	carlin	2315.875483	0.126222986	62.54802602	4.775281357	0.004382369
1850	carlin	2425.395725	0.08864655	33.13519271	2.546432732	0.037220544
1851	carlin	2909.378104	0.005279828	36.17508592	1.85274106	0.015319418
1992	porphyry	118.2503	40.58	0.23	1.305	0.1128
1993	porphyry	175.6265	39.81	0.16	1.407	0.1028
1995	porphyry	158.28	43.91	0.318	1.11	0.0382
1996	porphyry	86.3892	35.45	0.341	1.39	0.0788
1997	porphyry	96.0768	36.29	0.303	1.43	0.067
1998	porphyry	120.951	37.14	0.42	1.043	0.0293
1999	porphyry	81.864	31.4	0.559	1.21	0.082
2000	porphyry	100.7208	35.05	0.386	1.33	0.162
2003	porphyry	61.992	31.85	0.176	1.66	0.0672
2007	porphyry	83.3544	40.1	0.117	1.53	0.0367
2008	porphyry	61.7652	38.19	0.167	1.36	0.0341
2009	porphyry	91.8864	37.87	0.185	1.501	0.0461
2012	porphyry	69.61	45.61	0.132	2.92	0.038
2013	porphyry	67.59	33.7	0.1	2.84	1.402
2014	porphyry	85.8	26.75	0.173	1.69	0.0586
2015	porphyry	53.08	33.74	0.088	1.59	0.0211
2016	porphyry	60.91	30.56	0.202	1.96	0.501
2017	porphyry	71.85	52.68	0.212	1.04	0.0505
2018	porphyry	77.11	88.52	0.102	1.36	0.16
2019	porphyry	129.13	88.66	0.29	2.08	0.473
2020	porphyry	117.86	64.45	0.322	1.07	0.057
2021	porphyry	99.16	42.6	0.214	1.29	0.199
2025	porphyry	69.94	38.8	0.529	1.69	0.0312
2028	porphyry	88.3728	56.14	0.662	2.11	0.641
2029	porphyry	92.8583	38.71	0.586	1.71	1.096
2030	porphyry	98.1654	48.77	0.77	1.51	0.255
2031	porphyry	99.1914	37.63	0.699	1.84	1.014
2032	porphyry	87.8074	37.79	0.757	1.54	0.976
2033	porphyry	70.11	37.11	0.771	1.95	0.252
2034	porphyry	65.6754	46.38	0.841	1.496	0.19
2035	porphyry	73.4388	45.08	0.783	1.275	0.288
2036	porphyry	98.8038	24.37	0.799	1	0.427
2037	porphyry	85.0098	33.86	1.002	1.92	0.171
2038	porphyry	60.9444	36.65	0.461	1.573	0.321
2039	porphyry	78.9678	38.08	0.986	1.35	0.36
2040	porphyry	86.0397	34.58	1.08	1.89	1.239
2041	porphyry	67.0092	34.89	1.56	1.04	0.127
2042	porphyry	80.1306	34.75	1.58	0.847	0.0424
2048	porphyry	81.9318	54.74	0.105	1.36	0.176
2049	porphyry	104.253	42.07	0.594	1.244	0.378
2050	porphyry	109.1436	58.09	0.134	1.34	0.209
2051	porphyry	73.5186	24.98	0.106	1.39	0.137
2052	porphyry	56.6238	30.16	0.135	1.2	0.089
2053	porphyry	74.4876	47.56	0.072	1.122	0.0878
2054	porphyry	60.249	49	0.128	0.82	0.417
2055	porphyry	101.949	34.75	0.157	1.66	0.349
2056	porphyry	84.0864	25.31	0.104	1.219	0.277
2057	porphyry	91.2228	25.35	0.3	1.55	0.124
2058	porphyry	117.534	54.95	0.099	0.988	0.265
2059	porphyry	73.587	27.39	0.14	0.91	0.0225
2062	porphyry	108.88	54.07	0.191	1.47	0.381
2063	porphyry	91.95	61.93	0.55	1.64	0.077
2064	porphyry	119.51	78.97	0.222	1.63	0.139
2065	porphyry	126.11	38.14	0.356	1.32	0.08
2066	porphyry	155.63	40.71	0.128	1.33	0.096
2067	porphyry	144.66	57.34	0.389	1.23	0.131
2068	porphyry	80.26	54.19	0.289	1.48	0.126
2069	porphyry	66.23	42.25	0.182	1.14	0.0409
2070	porphyry	79.82	51.45	0.157	1.24	0.096
2071	porphyry	170.18	38.79	0.21	2.92	0.034
2072	porphyry	89.2	41.19	0.63	1.46	0.201
2073	porphyry	129.34	40.47	0.267	2.18	0.503
2074	porphyry	80.95	30.94	0.125	1.18	0.0872
2075	porphyry	113.69	66.22	0.409	1.064	0.0268
2076	porphyry	79.3	52.39	0.237	1.56	0.0719
2077	porphyry	91.06	55.44	0.126	1.17	0.0268
2078	porphyry	120.13	62.65	0.79	1.05	0.0257
2079	porphyry	96.89	67.81	0.181	0.9	0.0425
2081	porphyry	112.09	57.28	0.19	1.26	0.0336
2082	porphyry	66.14	38.97	0.251	1.32	0.02
2085	porphyry	89.36	49.05	0.137	1.25	0.128
2086	porphyry	57.22	47.28	0.151	1.09	0.091
2091	porphyry	58.4668	15.71	0.272	1.88	0.085
2092	porphyry	47.5076	14.1	0.18	1.82	0.0262
2093	porphyry	59.1052	10.33	0.23	2.02	0.298
2094	porphyry	43.092	16.25	0.15	1.94	0.211
2095	porphyry	49.1834	18.41	0.125	1.38	0.157
2096	porphyry	62.0312	33.04	0.167	1.64	0.235
2097	porphyry	55.4477	22.95	0.154	1.7	0.088
2098	porphyry	108.3551	15.35	0.39	1.61	0.109
2099	porphyry	51.5109	16.35	0.29	1.24	0.055
2100	porphyry	60.7943	20.48	0.175	1.88	0.115
2101	porphyry	82.3403	22.97	0.139	1.53	0.0203
2102	porphyry	79.5074	16.16	0.722	1.44	0.078
2103	porphyry	80.465	16.61	0.413	1.54	0.242
2104	porphyry	85.0269	11.82	0.31	1.7	0.215
2105	porphyry	57.057	15.17	0.17	1.11	1.083
2106	porphyry	65.9547	15.36	0.379	1.36	0.058
2107	porphyry	118.5429	14.68	0.44	1.82	0.08
2109	porphyry	79.2528	22.55	0.546	1.79	0.303
2110	porphyry	88.293	15.93	1.09	2.67	0.099
2111	porphyry	69.0042	12.11	0.406	2.22	0.403
2112	porphyry	72.4698	18.73	0.678	2.49	2.156
2113	porphyry	78.6486	19.78	0.614	2.17	1.585
2114	porphyry	82.137	24.79	1.56	1.9	0.369
2115	porphyry	84.417	26.73	2	1.82	0.397
2116	porphyry	73.5528	22.88	0.731	1.341	0.276
2117	porphyry	68.0124	25.84	0.904	1.87	0.315
2118	porphyry	74.4192	21.94	0.874	1.9	0.191
2119	porphyry	76.9386	26.81	0.867	1.74	0.228
2120	porphyry	101.0268	24.18	0.737	1.606	0.344
2121	porphyry	81.8976	27.37	0.705	1.63	0.359
2122	porphyry	60.876	17.48	0.99	2.53	0.111
2123	porphyry	135.5232	15.53	1.08	2.59	0.262
2124	porphyry	93.1152	20.13	0.554	1.92	0.23
2125	porphyry	79.4922	23.32	0.49	1.42	0.384
2126	porphyry	83.6304	22.19	0.878	1.27	0.138
2127	porphyry	64.2276	24.66	0.354	1.73	0.434
2128	porphyry	68.0808	22.78	0.615	2.57	0.479
2130	porphyry	85.02	35.41	0.152	1.31	0.093
2131	porphyry	99.8	64.41	0.342	1.03	0.0318
2132	porphyry	89.22	57.95	0.142	0.7	0.151
2133	porphyry	95	39.6	0.362	1.15	0.0533
2134	porphyry	75.46	38.63	0.092	1.27	0.0154
2136	porphyry	95.09	43.76	0.128	1.43	0.082
2137	porphyry	73.11	38.49	0.35	0.8	0.0077
2138	porphyry	79.09	41.98	0.43	1.54	0.0277
2139	porphyry	40.5251	15.67	0.418	1.36	0.0752
2140	porphyry	55.8467	16.28	0.675	1.24	0.12
2141	porphyry	36.3622	18.17	0.44	1.29	0.115
2142	porphyry	41.762	15.2	0.208	1.96	0.265
2143	porphyry	43.2915	14.73	0.392	0.76	0.0579
2144	porphyry	47.4411	14.71	0.8	1.87	0.123
2145	porphyry	56.7245	24.83	0.227	1.29	0.124
2146	porphyry	68.5216	19.23	0.9	1.25	0.2
2147	porphyry	85.4392	17.44	0.626	1.97	0.167
2148	porphyry	69.0536	14.19	0.53	1.04	0.535
2149	porphyry	60.7411	11.37	0.215	1.78	0.152
2150	porphyry	54.1975	11.73	0.385	1.33	0.273
2151	porphyry	49.7154	24.59	0.514	2.8	0.086
2152	porphyry	56.525	12.45	0.379	1.85	0.091
2153	porphyry	77.1932	26.54	0.31	3.24	0.197
2155	porphyry	57.419	16.86	0.483	1.22	0.935
2156	porphyry	69.3316	18.02	0.67	1.76	0.993
2157	porphyry	50.4912	14.66	0.84	1.86	0.277
2158	porphyry	51.0138	18.43	0.615	2.21	0.359
2159	porphyry	88.44	19.25	1.93	1.94	0.265
2160	porphyry	90.852	15.82	0.49	2.02	1.03
2161	porphyry	79.9176	18.08	1.51	1.57	1.31
2162	porphyry	40.4278	14.62	0.419	2.14	0.063
2163	porphyry	60.9566	11.93	1.49	3.3	0.37
2165	porphyry	111.7158	32.02	0.634	0.99	2.27
2166	porphyry	60.1258	14.84	0.82	2.33	0.07
2167	porphyry	52.93	13.62	1.17	1.54	0.0395
2168	porphyry	56.9902	14.99	0.709	2.19	0.308
2169	porphyry	114.7174	17.94	2.67	2.13	0.438
2170	porphyry	48.0926	11.27	1.2	2.44	0.342
2171	porphyry	64.6818	16.16	0.3	2.24	0.557
2172	porphyry	46.1094	18.72	0.701	1.39	0.179
2173	porphyry	149.5574	16.39	3.52	2.58	0.613
2174	porphyry	65.3116	12.66	0.463	2.72	0.684
2176	porphyry	113.5872	12.25	1.39	1.7	0.057
2177	porphyry	48.8784	7.17	1.255	1.32	0.093
2178	porphyry	79.6416	7.28	1.375	1.7	0.0364
2179	porphyry	85.4964	8.53	1.367	2.47	0.0975
2180	porphyry	76.2246	4.39	1.13	2.08	0.632
2181	porphyry	81.1614	2.42	1.36	2.68	0.0213
2182	porphyry	218.8614	4.6	1.88	5.32	0.0137
2183	porphyry	64.6161	8.65	1.68	2.17	0.0199
2184	porphyry	89.6292	9.89	3.52	1.42	0.0415
2186	porphyry	130.806	8.32	3.14	1.46	0.0318
2187	porphyry	43.0344	5.92	1.42	1.52	0.044
2188	porphyry	88.0812	5.45	2.25	1.54	0.089
2189	porphyry	81.3087	4.13	1.53	2.26	0.312
2190	porphyry	70.1244	8.44	1.18	2.28	0.0448
2194	porphyry	78.1611	7.46	2.66	1.75	0.0307
2195	porphyry	90.1323	6.88	3.09	2.27	0.0437
2196	porphyry	58.0482	6.19	2.18	2.03	0.0224
2197	porphyry	92.0856	7.75	4.71	1.58	0.01
2198	porphyry	36.1386	4.62	1.475	1.98	0.0164
2199	porphyry	68.0442	5.49	2.43	1.396	0.0157
2201	porphyry	90.3822	8.78	0.78	1.62	0.061
2202	porphyry	132.7734	4.16	1.54	3.27	0.034
2203	porphyry	172.584	3.31	2.79	4.55	0.0292
2204	porphyry	193.7128	5.79	1.649	3.03	0.0292
2205	porphyry	300.9728	4.58	1.901	2.91	0.0534
2206	porphyry	80.4264	4.17	1.864	1.544	0.0551
2207	porphyry	104.3956	8.8	2.41	2.41	0.0433
2208	porphyry	92.256	8.37	1.12	1.88	0.086
2209	porphyry	50.6416	6.57	0.66	2.32	0.16
2210	porphyry	225.5188	10.9	2.49	2.08	0.204
2211	porphyry	60.574	5.06	1.29	1.79	0.061
2212	porphyry	119.336	8.23	1.65	2.52	0.0461
2213	porphyry	49.1536	5.12	0.466	2.78	0.059
2214	porphyry	55.8992	6.45	1.228	2.11	0.0167
2215	porphyry	302.684	9.48	1.014	1.67	0.0455
2216	porphyry	184.3136	8.54	1.54	1.87	0.0237
2217	porphyry	173.662	8.07	2.41	2.86	0.066
2218	porphyry	247.1196	8.39	0.997	3.02	0.04
2219	porphyry	126.6908	5.16	0.642	3.62	0.056
2221	porphyry	155.6055	2.13	6.67	1.48	0.1
2222	porphyry	189.32346	4.07	9.09	1.33	0.0152
2223	porphyry	151.19496	3.29	6.66	1.21	0.025
2224	porphyry	248.30928	3.3	13.36	1.79	0.0064
2225	porphyry	160.04352	4.6	7.07	1.63	0.0624
2226	porphyry	179.82912	2.51	3.78	2.48	0.287
2227	porphyry	77.98824	2.33	2.87	1.23	0.0513
2228	porphyry	122.31348	2.35	4.05	1.92	0.017
2229	porphyry	93.69306	3	3.19	1.53	0.035
2230	porphyry	114.99006	2.26	5.02	1.43	0.0065
2231	porphyry	144.6135	2.5	5.14	2.52	0.0373
2232	porphyry	128.99112	1.54	6.1	2.23	0.006
2233	porphyry	145.46538	2.13	7.08	1.24	0.0037
2235	porphyry	187.66092	3.36	8.62	1.55	0.127
2236	porphyry	143.7891	2.34	3.02	3.71	0.249
2237	porphyry	94.61364	3.28	3.74	1.64	0.0327
2238	porphyry	156.88332	3.14	3.67	1.28	0.0436
2239	porphyry	99.43638	2.5	2.52	1.52	0.0552
2240	porphyry	59.1213	1.69	1.91	2.37	0.0106
2241	porphyry	113.4063	2.41	2.69	3.89	0.067
2243	porphyry	110.5299	1.81	3.99	3.11	0.016
2244	porphyry	76.6758	4.39	1.1	2.35	0.144
2245	porphyry	68.4696	4.5	1.54	2.51	0.0326
2248	porphyry	109.3737	3.62	2.65	2.15	0.0073
2249	porphyry	62.0796	6.12	0.844	2	0.0496
2250	porphyry	109.296	7.09	2.77	2.51	0.0368
2251	porphyry	180.7476	7.95	3.79	1.77	0.0542
2252	porphyry	137.5968	6.74	4.96	1.73	0.0444
2253	porphyry	104.016	5.53	1.37	2.15	0.0567
2254	porphyry	112.6488	8.76	2.96	2.18	0.017
2255	porphyry	151.7868	8.76	2.334	2.08	0.0573
2256	porphyry	127.71	4.65	1.033	2.77	0.19
2257	porphyry	193.8156	6.11	1.29	2.6	0.358
2258	porphyry	117.1104	5.07	1.213	2.27	0.101
2259	porphyry	58.3044	6.32	1.006	1.628	0.0238
2260	porphyry	259.38	9.73	1.231	5.64	0.168
2261	porphyry	191.1492	6.2	0.911	1.94	0.288
2262	porphyry	75.108	7.37	2	1.34	0.024
2263	porphyry	67.7952	5.16	1.583	1.424	0.0306
2264	porphyry	86.6184	5.46	1.621	1.843	0.0419
2265	porphyry	76.6392	4.83	1.365	2.01	0.016
2266	porphyry	108.2928	6.18	1.445	2.56	0.0561
2267	porphyry	105.9828	4.98	1.131	2.13	0.0206
2268	porphyry	66.1848	5.11	1.056	1.78	0.0093
2389	porphyry	56.7	29.4	6.07	1.29	0.01
2390	porphyry	56.1	32.5	6.26	1.1	0.01
2391	porphyry	101	34.6	3.11	1.18	0.98
2394	porphyry	60.5	27.9	6.82	1.21	0.01
2395	porphyry	82.9	27	8.14	1.17	0.07
2397	porphyry	55.9	31.4	5.73	0.82	0.01
2398	porphyry	49.9	32.6	3.61	1.1	0.01
2399	porphyry	49.9	36.3	2.85	0.95	0.03
2401	porphyry	97.5	25	6.78	0.82	0.12
2405	porphyry	105	21.4	7.77	1.98	0.03
2406	porphyry	95.3	24.2	5.79	1.9	0.02
2520	granite	581.95	9.63	63	1.815	0.2178
2521	granite	553.75	10.27	63.3	1.867	0.0229
2522	granite	655.09	10.63	73.69	1.773	0.0862
2523	granite	390.33	8.95	40.92	1.905	0.0703
2524	granite	591.51	11.08	59.45	1.944	0.085
2525	granite	764.74	8.82	78.73	1.949	0.0502
2526	granite	780.59	10.2	80.59	2.044	0.078
2527	granite	749.44	11.06	78.66	1.911	0.1291
2528	granite	465.39	11.19	44.17	1.906	0.0651
2529	granite	887.82	11.87	80.36	1.931	0.0571
2530	granite	627.23	11.08	64.23	1.956	0.1168
2531	granite	753.68	10.06	71.23	1.865	0.0721
2532	granite	807.39	11.95	78.77	2.143	0.0695
2533	granite	783.24	8.69	76.22	1.871	0.0788
2534	granite	744.98	9.49	96.43	2.28	0.0708
2535	granite	772.44	8.78	92.2	1.9	0.0692
2536	granite	685.77	11.37	94.04	1.92	0.121
2537	granite	802.56	15.76	87.28	2.17	0.102
2538	granite	731.7	15.3	76.99	2.16	0.0747
2539	granite	726.89	15.29	83.38	2.41	0.089
2540	granite	837.02	13.44	89.59	2.17	0.12
2541	granite	761.88	13.34	85.97	2.26	0.113
2542	granite	712.77	16.46	87.93	2.35	0.144
2543	granite	813.87	7.53	120.32	1.98	0.0949
2544	granite	810.83	13.49	94.39	1.81	0.01
2545	granite	664.07	7.2	83.84	2.16	0.01
2546	granite	736	16.16	96.14	2.09	0.0836
2547	granite	888.74	6.69	99.83	2.07	0.0446
2548	granite	667.9	10.93	74.53	2.2	0.143
2549	granite	741.32	11.92	80.22	1.99	0.121
2550	granite	830.79	7.75	89.69	1.83	0.0558
2551	granite	727.53	13.95	89	1.93	0.01
2552	granite	804.86	8.54	91.06	1.77	0.079
2553	granite	615.25	14.99	66.82	2.14	0.083
2554	granite	519.72	13.46	51.44	1.59	0.0814
2555	granite	673.2	8.85	82.23	2.08	0.0226
2556	granite	810	9.33	93.77	1.85	0.0809
2557	granite	763.64	17.23	94.79	1.96	0.113
2558	granite	733.9	16.95	78.12	2.12	0.079
2559	granite	656.25	15	71.47	1.91	0.145
2560	granite	885.76	5.75	153.22	1.779	0.1187
2561	granite	862.44	5.04	143.53	2.023	0.0518
2562	granite	847.8	4.09	115.47	1.763	0.0204
2563	granite	866.25	4.64	125.66	1.832	0.0723
2564	granite	759.71	3.55	114.3	1.765	0.1337
2565	granite	986.45	5.18	162.06	2.165	0.0915
2566	granite	808.22	6.7	134.3	2.15	0.0733
2567	granite	791.13	6.38	128.66	2.027	0.1218
2568	granite	871.89	4.56	102.6	1.67	0.0691
2569	granite	806.23	4.29	100.61	1.541	0.0263
2570	granite	904.22	8.08	151.62	2.017	0.0831
2571	granite	910.39	9.8	105.86	1.997	0.233
2572	granite	807.69	8.53	114.1	2.08	0.0631
2573	granite	760.45	5.85	109.39	1.699	0.077
2574	granite	877.52	10.18	137.12	2.06	0.0585
2575	granite	770.79	5.61	97.46	1.784	0.0877
2576	greisen	2710.18	7.14	317.46	2.53	0.0134
2577	greisen	3522.07	8.01	386.13	3.06	0.0245
2578	greisen	2564.34	5.67	270.88	1.39	0.0284
2579	greisen	3021.08	7.15	323.01	2.74	0.0217
2580	greisen	2993.61	7.87	321.79	1.966	0.01
2581	greisen	2487.69	6.77	277.79	2.63	0.0153
2582	greisen	756.25	6.05	157.4	1.94	0.0206
2583	greisen	681.44	7.12	124.41	2.5	0.0267
2584	greisen	574.23	6.7	87.77	1.7	0.0262
2585	greisen	1069.23	6.75	216.46	1.99	0.0404
2586	greisen	492.98	5.91	83.31	1.407	0.0375
2587	greisen	280.09	5.97	66.27	1.29	0.0471
2588	greisen	3444.49	4.14	677.2	11.95	0.038
2589	greisen	3876.01	4.12	713.94	11.46	0.0195
2590	greisen	3625.15	4.13	669.89	12.32	0.01
2591	greisen	4205.08	3.88	786.9	6.72	0.0144
2592	greisen	3891.96	4.01	718.81	11.47	0.0117
2593	greisen	3792.53	4.43	704.54	11.21	0.0127
2594	greisen	3614.98	3.95	709.34	8.86	0.0153
2595	greisen	3860.44	3.35	661.06	8.62	0.0211
2596	greisen	4101.56	3.39	652.65	6.14	0.0119
2597	greisen	3249.41	3.75	582.84	4.32	0.0376
2598	greisen	504.35	2.95	87.96	1.5	0.01
2599	greisen	839.44	3.68	193.95	2.07	0.0249
2600	greisen	651.38	3.06	178.9	1.91	0.0463
2601	greisen	891.87	3.43	213.99	1.95	0.0749
2602	greisen	407.54	3.36	113.3	1.96	0.0214
2603	greisen	2478.38	3.58	397.3	5.29	0.01
2604	greisen	2222.01	1	353.12	3.36	0.0126
2605	greisen	2167.48	1.69	327.98	3.29	0.01
2606	greisen	1864.56	2.5	314.6	2.79	0.01
2607	greisen	3563.07	3.74	422.17	4.72	0.0222
2608	greisen	962.01	2.54	134.77	1.302	0.0305
2609	greisen	1365.85	4	198.76	2.38	0.01
2610	greisen	2669.68	4.14	402.4	4.96	0.01
2611	greisen	425.74	1.71	86.05	3.28	0.01
2612	greisen	727.77	4.7	97.39	3.34	0.0854
2613	greisen	601.84	1.62	93.39	4.05	0.0493
2614	greisen	662.76	3.32	135.45	4.12	0.0309
2615	greisen	590.86	2.36	94.47	4.26	0.0367
2616	greisen	2277.7	5.09	282.66	11.91	0.157
2617	greisen	2935.74	3.19	290.45	9.66	0.0377
2618	greisen	2272.42	6.21	295.13	3.66	0.01
2619	greisen	2067.84	7.13	252.01	4.57	0.01
2620	greisen	509.91	4.6	81.62	2.47	0.01
2621	greisen	1351.77	7.39	174.11	1.938	0.01
2622	greisen	1629.06	5.99	210.67	2.34	0.0105
2623	greisen	1744.52	4.37	232.18	2.37	0.0148
2624	greisen	1689.58	5.78	218.21	2.65	0.01
2625	porphyry	519.44	54.29	58.28	1.13	0.01
2626	porphyry	406.37	42.95	47.52	1.096	0.0405
2627	porphyry	336.05	27.42	37.05	1.268	0.0145
2628	porphyry	460.15	42.91	52.83	1.307	0.0207
2629	porphyry	409.36	35.42	50.58	1.415	0.0241
2630	porphyry	432.43	31.15	46.96	1.275	0.029
2631	porphyry	408	43.25	48.9	1.149	0.0144
2632	porphyry	439.22	45.85	51.79	1.386	0.0158
2633	porphyry	399.4	47.02	52.87	1.343	0.0597
2634	porphyry	443.58	51.73	53.82	1.153	0.01
2635	porphyry	556.95	37.82	100.63	1.481	0.0295
2636	porphyry	390.22	60.04	65.98	1.118	0.0273
2637	porphyry	365.31	43.36	51.26	1.166	0.0261
2638	porphyry	386.12	32.22	46.53	1.447	0.0303
2639	porphyry	393.98	39.51	40.57	1.391	0.0232
2640	porphyry	413.55	43.46	43.55	1.359	0.1087
2641	porphyry	415.28	46.78	41.82	1.16	0.0267
2642	porphyry	453.37	54.57	46.89	1.235	0.0304
2643	porphyry	422.2	43.25	44.67	1.316	0.0721
2644	porphyry	396.82	48	47.94	1.174	0.0211
2645	porphyry	442.02	46.73	48.27	0.972	0.0295
2646	porphyry	380.45	53.74	60.25	1.026	0.0446
2647	porphyry	449.15	51.98	50.64	1.208	0.0207
2648	porphyry	432.71	42.6	41.67	1.04	0.0317
2649	porphyry	473.39	56.86	48.64	1.052	0.034
2650	porphyry	432.48	43.51	46.22	1.075	0.0434
2651	porphyry	389.18	43.85	44.91	1.299	0.0349
2994	greisen	134.6	14.4	27.9	0.9	0.07
2995	greisen	130.3	14	24.9	1	0.08
2996	greisen	208.5	15.1	23.5	0.8	0.06
2997	greisen	147.8	6.6	10.8	1.9	0.05
2998	greisen	304.9	3.9	17.5	2.3	0.1
2999	greisen	387.2	3.1	27.2	1.7	0.05
3000	greisen	59.5	6.4	1.7	1	0.07
3001	greisen	130	1.9	6.4	0.7	0.06
3002	greisen	107.5	0.8	3.7	0.7	0.22
3003	greisen	309.8	4.8	4.6	1.9	0.06
3004	greisen	116.8	4.8	6.9	1.1	0.05
3005	greisen	410.1	5.5	14.4	1.6	0.06
3006	greisen	82.8	3.8	2	2.2	0.05
3007	greisen	347.6	3.6	15.9	1.8	0.04
3008	greisen	84.2	4.4	3.9	1.5	0.05
3009	greisen	437.2	5.8	13.8	1.4	0.08
3010	greisen	371.4	5.6	27.3	1.6	0.82
3011	greisen	560.9	5.3	27.5	1.7	0.07
3013	greisen	33	2.4	4.7	0.1	0.04
